,precision,recall,f1-score,support
Anggur Busuk Hitam,0.99,0.99,0.99,100.0
Anggur Campak Hitam,0.9900990099009901,1.0,0.9950248756218906,100.0
Anggur Hawar Daun,1.0,0.99,0.9949748743718593,100.0
Anggur Sehat,1.0,1.0,1.0,100.0
Apel Bercak Alternaria,0.9797979797979798,0.97,0.9748743718592965,100.0
Apel Bercak Cokelat,1.0,1.0,1.0,100.0
Apel Busuk Hitam,0.9900990099009901,1.0,0.9950248756218906,100.0
Apel Kudis,0.99,0.99,0.99,100.0
Apel Sehat,0.970873786407767,1.0,0.9852216748768473,100.0
Blueberry Sehat,0.9702970297029703,0.98,0.9751243781094527,100.0
Ceri Embun Tepung,1.0,1.0,1.0,100.0
Ceri Sehat,1.0,1.0,1.0,100.0
Jagung Bercak Abu,0.9134615384615384,0.95,0.9313725490196079,100.0
Jagung Hawar Utara,0.9484536082474226,0.92,0.934010152284264,100.0
Jagung Karat Daun,1.0,1.0,1.0,100.0
Jagung Sehat,1.0,0.99,0.9949748743718593,100.0
Jambu Daun Kuning,1.0,1.0,1.0,100.0
Jeruk Citrus Greening,1.0,1.0,1.0,100.0
Jeruk Daun Rusak,1.0,0.99,0.9949748743718593,100.0
Jeruk Embun Tepung,0.9900990099009901,1.0,0.9950248756218906,100.0
Jeruk Kanker,1.0,1.0,1.0,100.0
Jeruk Kutu Kebul Berduri,1.0,1.0,1.0,100.0
Jeruk Kutu Putih,1.0,1.0,1.0,100.0
Jeruk Sehat,1.0,1.0,1.0,100.0
Kedelai Sehat,0.9705882352941176,0.99,0.9801980198019802,100.0
Kentang Hama,0.9230769230769231,0.84,0.8795811518324608,100.0
Kentang Hawar Dini,0.9705882352941176,0.99,0.9801980198019802,100.0
Kentang Hawar Lambat,0.93,0.93,0.93,100.0
Kentang Layu Bakteri,0.8899082568807339,0.97,0.9282296650717703,100.0
Kentang Nematoda,1.0,0.95,0.9743589743589743,100.0
Kentang Sehat,0.9230769230769231,0.84,0.8795811518324608,100.0
Kentang Virus Daun Menggulung,0.9494949494949495,0.94,0.9447236180904522,100.0
Kentang Virus Mosaik,0.9897959183673469,0.97,0.9797979797979798,100.0
Kopi Bercak Phoma,0.99,0.99,0.99,100.0
Labu Embun Tepung,1.0,1.0,1.0,100.0
Mawar Karat Daun,0.9339622641509434,0.99,0.9611650485436893,100.0
Padi Bercak Cokelat,0.9891304347826086,0.91,0.9479166666666666,100.0
Padi Sehat,0.8823529411764706,1.0,0.9375,60.0
Padi Tungro,0.9900990099009901,1.0,0.9950248756218906,100.0
Paprika Bercak Bakteri,0.98,0.98,0.98,100.0
Paprika Sehat,0.9702970297029703,0.98,0.9751243781094527,100.0
Persik Bercak Bakteri,0.9897959183673469,0.97,0.9797979797979798,100.0
Persik Sehat,0.9433962264150944,1.0,0.970873786407767,100.0
Raspberry Sehat,0.9900990099009901,1.0,0.9950248756218906,100.0
Stroberi Daun Terbakar,0.9900990099009901,1.0,0.9950248756218906,100.0
Stroberi Sehat,1.0,0.99,0.9949748743718593,100.0
Tebu Busuk Merah,0.9423076923076923,0.98,0.9607843137254902,100.0
Tebu Daun Kuning,0.9886363636363636,0.87,0.925531914893617,100.0
Tebu Karat Daun,0.9696969696969697,0.96,0.964824120603015,100.0
Tebu Mosaik,0.9333333333333333,0.84,0.8842105263157894,100.0
Tebu Sehat,0.8135593220338984,0.96,0.8807339449541285,100.0
Terong Sehat,0.99,0.99,0.99,100.0
Tomat Bercak Bakteri,0.9354838709677419,0.87,0.9015544041450777,100.0
Tomat Bercak Septoria,0.9175257731958762,0.89,0.9035532994923858,100.0
Tomat Bercak Target,0.8504672897196262,0.91,0.8792270531400966,100.0
Tomat Daun Keriting,0.979381443298969,0.95,0.9644670050761421,100.0
Tomat Hawar Dini,0.8936170212765957,0.84,0.865979381443299,100.0
Tomat Hawar Lambat,0.9263157894736842,0.88,0.9025641025641026,100.0
Tomat Jamur Daun,0.9509803921568627,0.97,0.9603960396039604,100.0
Tomat Sehat,0.8389830508474576,0.99,0.908256880733945,100.0
Tomat Tungau Laba-laba,0.9479166666666666,0.91,0.9285714285714286,100.0
Tomat Virus Mosaik,1.0,0.97,0.9847715736040609,100.0
jambu antraknosa,1.0,1.0,1.0,100.0
jambu gigitan serangga,1.0,1.0,1.0,100.0
jambu sehat,1.0,1.0,1.0,100.0
jambu terbakar,1.0,1.0,1.0,100.0
kopi karat daun,0.9519230769230769,0.99,0.9705882352941176,100.0
kopi sehat,0.979381443298969,0.95,0.9644670050761421,100.0
mangga antraknosa,1.0,1.0,1.0,100.0
mangga embun tepung,0.970873786407767,1.0,0.9852216748768473,100.0
mangga jelaga hitam,1.0,0.97,0.9847715736040609,100.0
mangga sehat,1.0,1.0,1.0,100.0
accuracy,0.9677374301675977,0.9677374301675977,0.9677374301675977,0.9677374301675977
macro avg,0.9681850769909128,0.9679166666666666,0.9675023999333274,7160.0
weighted avg,0.968664586129541,0.9677374301675977,0.9676700111061393,7160.0
